2016-07-23 20:00:04;RT @spbifmo: Известный патентный тролль - Джером Лемельсон. 700 крупнейших компаний купили у него право на использование его патентов #ИТМО
2016-07-23 15:52:01;Известный патентный тролль - Джером Лемельсон. 700 крупнейших компаний купили у него право на использование его патентов #ИТМО
2016-07-23 15:51:36;Кто такие патентные тролли? Лица, которые имеют интеллектуальную собственность, но не реализуют ее в качестве разработок #ИТМО
2016-07-23 15:51:16;Чем лучше вы умеете использовать информацию, тем больше у вас шансов быть сильнее конкурентов #ИТМО
2016-07-23 15:50:32;Реально ли управлять информацией? Ведь она неосязаема, неисчерпаема, ее можно неограниченно распространять. #ИТМО
2016-07-23 15:27:23;Начинается лекция Нины Яныкиной, которая расскажет о том, как управлять интеллектуальным капиталом. #ИТМО
2016-07-23 13:24:28;Тот волшебный момент, когда ты ловишь попутку и тебя подвозит полиция! 🚔🚨💨 (@ УСОЦ "Ягодное" Университета ИТМО) https://t.co/uDvrZQUfe3
2016-07-23 12:57:18;Учёные из Астонского университета и Университета ИТМО разработали уникальный оптический микрорезонатор: Профе... https://t.co/lx3uHVr1MJ
2016-07-23 12:46:22;RT @spbifmo: Немного о бизнес-ангелах в России. Инвестор рассуждает так: сколько денег в этом году я могу красиво потерять #ИТМО
2016-07-23 11:49:33;RT @chrdk_ru: Ученый из ИТМО предложил новый метод изготовления оптических резонаторов: https://t.co/nmxkOYBn72
2016-07-23 11:15:32;RT @chrdk_ru: Ученый из ИТМО предложил новый метод изготовления оптических резонаторов: https://t.co/nmxkOYBn72
2016-07-23 11:00:14;Ученый из ИТМО предложил новый метод изготовления оптических резонаторов: https://t.co/nmxkOYBn72
2016-07-23 10:55:21;Magic Leap - продукта нет, но стоимость компании 1.4 долларов.  #ИТМО
2016-07-23 10:45:41;@ghtxht в итмо не поступила и все? страх потеряла?
2016-07-23 10:43:58;В Европе зарождение стартап-культуры традиционно происходит вокруг корпораций. #ИТМО
2016-07-23 10:35:43;Немного о бизнес-ангелах в России. Инвестор рассуждает так: сколько денег в этом году я могу красиво потерять #ИТМО
2016-07-23 10:30:53;Сейчас ситуация изменилась - большинство технологий создаётся в корпорациях. #ИТМО
2016-07-23 10:28:15;Почему был взлёт стартап культуры на рубеже веков? Новизна! В то время было действительно много новых технологий. #ИТМО
2016-07-23 10:26:45;Надо понимать, что стартап это масштабированный бизнес. #ИТМО
2016-07-23 10:25:37;Почему инновации не ведут нас вперед с большей скоростью? Некуда инвестировать. #ИТМО
2016-07-23 10:24:40;Нельзя создать бизнес и не совершенствовать его. Всегда нужно помнить о конкурентах. И именно с инновациями у нас все не так хорошо. #ИТМО
2016-07-23 10:23:21;Мертва ли стартап-культура? Спикер:  Константин Карчмарский. Подключайтесь к нашей трансляции! #ИТМО
2016-07-23 09:59:33;Как IT-бренды влияют на лояльность? Что все-таки лучше: Google или Yandex? Подключайте к нашей трансляции на YouTube! #ИТМО
2016-07-23 09:54:01;#покемоны в #итмо https://t.co/5JiPkPww1O
2016-07-23 09:43:37;Сам Windows был рад этому решению. Все-таки неловко, когда по телевизору показывают, насколько твой браузер медленный. #ИТМО
2016-07-23 09:40:00;А все потому что в 2009 году Еврокомиссия обязала Windows предоставлять выбор браузера #ИТМО
2016-07-23 09:38:55;На самом деле войны операционных систем нет и не будет. Другое дело браузеры: неожиданно Chrome и Firefox вырвались вперед. #ИТМО
2016-07-23 09:32:14;Немного о конкуренции на рынке. Есть ли возможность у других компаний выйти на рынок операционных систем? #ИТМО https://t.co/zx3k5lw9bW
2016-07-23 09:29:55;Internet Explorer встроен в систему Windows. В мире всего 1% пользователей этого браузера, они готовы пользоваться им по умолчанию #ИТМО
2016-07-23 09:26:29;Почему мы выбираем тот или иной продукт: использовали раньше, рекомендация друзей, реклама, встроено в систему гаджета. #ИТМО
2016-07-23 09:23:13;Как IT-бренды влияют на лояльность? Что все-таки лучше: Google или Yandex? Подключайте к нашей трансляции на YouTube! #ИТМО
2016-07-23 09:20:06;Интерактивная выставка «Живой свет» в Музее оптики Университета ИТМО https://t.co/ZCmE1vTRm1
2016-07-23 09:05:10;Через пару минут июльский Открытый университет откроет лекция Лидии Перовской! #ИТМО https://t.co/4aa74zllIa
2016-07-23 08:45:17;Кто знает, куда нужно поступать в ИТМО, чтобы потом жить в нормальной общаге?)) Или как вообще организоваться... https://t.co/RsnY0y7l8z
2016-07-23 08:42:41;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?
2016-07-22 22:23:48;Есть кто-нибудь кто учился в ИТМО или учится там?
2016-07-22 18:55:32;Ученые научились создавать микрорезонаторы с рекордной точностью https://t.co/sUgoI5etrP #ИТМО
2016-07-22 17:03:09;Счастливый номер приказа о зачислении🎉🎉🎉 #приказ #1111 #итмо #зачислена🔥 #универЖдиВСентябре #бюджет #стипендия💰 https://t.co/d3BBNynVEg
2016-07-22 15:19:55;Привет #ИТМО! У нас новый редактор! Ждем фоточки еды.
